M_TEEN,MALE,F_TEEN,FEMALE,DATE
278,1511,116,446,1948-01-01
310,1694,153,650,1948-02-01
298,1614,142,592,1948-03-01
225,1482,139,561,1948-04-01
185,1245,93,491,1948-05-01
385,1108,323,592,1948-06-01
356,1195,256,604,1948-07-01
274,1177,152,635,1948-08-01
197,1146,138,580,1948-09-01
166,981,90,510,1948-10-01
189,1163,128,553,1948-11-01
203,1344,104,554,1948-12-01
295,1923,149,628,1949-01-01
294,2292,180,708,1949-02-01
318,2267,169,629,1949-03-01
301,2081,171,724,1949-04-01
349,2154,193,820,1949-05-01
550,2163,388,865,1949-06-01
478,2547,356,1007,1949-07-01
408,2293,230,1025,1949-08-01
294,2115,271,955,1949-09-01
290,2419,190,889,1949-10-01
305,2108,192,965,1949-11-01
351,2270,191,878,1949-12-01
476,2882,187,1103,1950-01-01
448,3041,210,1092,1950-02-01
337,2802,196,978,1950-03-01
291,2429,122,823,1950-04-01
328,1930,178,827,1950-05-01
500,1779,344,928,1950-06-01
361,1826,291,838,1950-07-01
271,1443,179,720,1950-08-01
228,1328,178,756,1950-09-01
187,1074,136,658,1950-10-01
177,1186,155,838,1950-11-01
213,1343,169,684,1950-12-01
223,1522,125,779,1951-01-01
204,1450,130,754,1951-02-01
171,1216,142,794,1951-03-01
149,995,113,681,1951-04-01
147,859,106,658,1951-05-01
305,919,264,644,1951-06-01
278,954,218,622,1951-07-01
186,878,154,588,1951-08-01
152,862,152,720,1951-09-01
128,856,100,670,1951-10-01
180,928,136,746,1951-11-01
168,914,98,616,1951-12-01
250,1230,132,646,1952-01-01
244,1312,106,678,1952-02-01
198,1152,100,552,1952-03-01
166,1022,88,560,1952-04-01
188,862,154,578,1952-05-01
324,930,264,514,1952-06-01
266,1062,216,541,1952-07-01
178,1008,156,576,1952-08-01
176,894,136,522,1952-09-01
122,702,126,530,1952-10-01
162,752,116,564,1952-11-01
183,835,85,442,1952-12-01
170,1334,108,520,1953-01-01
174,1188,118,484,1953-02-01
166,1034,90,538,1953-03-01
132,1070,108,454,1953-04-01
140,894,98,404,1953-05-01
280,822,206,424,1953-06-01
234,886,158,432,1953-07-01
176,768,110,458,1953-08-01
141,814,108,556,1953-09-01
162,788,116,506,1953-10-01
175,1099,110,633,1953-11-01
252,1529,145,708,1953-12-01
294,2068,186,1013,1954-01-01
374,2386,192,1031,1954-02-01
324,2444,168,1101,1954-03-01
277,2329,179,1061,1954-04-01
314,2099,197,1048,1954-05-01
385,1978,313,1005,1954-06-01
427,2015,250,987,1954-07-01
346,1924,194,1006,1954-08-01
279,1885,194,1075,1954-09-01
188,1720,167,854,1954-10-01
239,1739,129,1008,1954-11-01
276,1831,125,777,1954-12-01
309,2245,133,982,1955-01-01
283,2248,144,894,1955-02-01
243,2123,136,795,1955-03-01
212,2013,138,799,1955-04-01
244,1485,180,781,1955-05-01
439,1381,297,776,1955-06-01
354,1332,215,761,1955-07-01
272,1236,189,839,1955-08-01
223,1095,178,842,1955-09-01
218,1118,137,811,1955-10-01
233,1253,207,843,1955-11-01
258,1433,157,753,1955-12-01
275,1788,155,848,1956-01-01
290,1863,183,756,1956-02-01
227,1824,196,848,1956-03-01
219,1504,159,828,1956-04-01
279,1428,235,857,1956-05-01
494,1384,463,838,1956-06-01
359,1340,299,986,1956-07-01
241,1199,180,847,1956-08-01
178,1122,172,801,1956-09-01
178,1028,146,739,1956-10-01
262,1281,191,865,1956-11-01
226,1543,124,767,1956-12-01
313,1809,143,941,1957-01-01
256,1810,173,846,1957-02-01
290,1618,146,768,1957-03-01
248,1521,149,709,1957-04-01
257,1353,227,798,1957-05-01
507,1402,391,831,1957-06-01
390,1327,293,833,1957-07-01
270,1258,200,798,1957-08-01
229,1307,161,806,1957-09-01
226,1337,131,771,1957-10-01
311,1690,175,951,1957-11-01
298,2062,173,799,1957-12-01
361,2759,188,1156,1958-01-01
391,3198,195,1332,1958-02-01
393,3318,168,1276,1958-03-01
377,3073,241,1373,1958-04-01
415,2804,288,1325,1958-05-01
634,2752,511,1326,1958-06-01
580,2779,425,1314,1958-07-01
414,2601,249,1343,1958-08-01
383,2190,260,1225,1958-09-01
335,2072,210,1133,1958-10-01
342,2132,236,1075,1958-11-01
372,2497,176,1023,1958-12-01
396,2850,166,1266,1959-01-01
382,2926,153,1237,1959-02-01
346,2577,195,1180,1959-03-01
330,1933,249,1046,1959-04-01
354,1689,274,1010,1959-05-01
603,1659,508,1010,1959-06-01
523,1691,345,1046,1959-07-01
436,1650,276,985,1959-08-01
336,1662,226,971,1959-09-01
349,1630,215,1037,1959-10-01
327,2021,262,1026,1959-11-01
399,1970,205,947,1959-12-01
381,2417,224,1097,1960-01-01
330,2306,232,1018,1960-02-01
424,2454,232,1054,1960-03-01
367,2025,237,978,1960-04-01
388,1740,297,955,1960-05-01
749,1787,569,1067,1960-06-01
548,1863,341,1132,1960-07-01
456,1890,273,1092,1960-08-01
329,1703,264,1019,1960-09-01
370,1806,251,1110,1960-10-01
365,2085,255,1262,1960-11-01
400,2638,258,1174,1960-12-01
462,3211,271,1391,1961-01-01
481,3363,277,1533,1961-02-01
463,3190,291,1479,1961-03-01
443,2773,260,1411,1961-04-01
445,2522,334,1370,1961-05-01
811,2330,686,1486,1961-06-01
608,2383,519,1451,1961-07-01
472,2275,384,1309,1961-08-01
388,1973,357,1316,1961-09-01
373,1880,291,1319,1961-10-01
377,2008,323,1233,1961-11-01
423,2309,196,1113,1961-12-01
401,2591,266,1363,1962-01-01
425,2548,263,1245,1962-02-01
396,2458,264,1205,1962-03-01
355,2115,309,1084,1962-04-01
416,1807,321,1048,1962-05-01
699,1847,542,1131,1962-06-01
469,1803,419,1138,1962-07-01
380,1886,305,1271,1962-08-01
338,1621,252,1244,1962-09-01
307,1536,252,1139,1962-10-01
380,1826,315,1205,1962-11-01
328,2151,251,1030,1962-12-01
386,2663,278,1300,1963-01-01
469,2787,295,1319,1963-02-01
465,2499,280,1198,1963-03-01
480,2066,300,1147,1963-04-01
585,1770,454,1140,1963-05-01
831,1745,762,1216,1963-06-01
670,1723,547,1200,1963-07-01
474,1683,327,1271,1963-08-01
416,1454,346,1254,1963-09-01
376,1466,349,1203,1963-10-01
441,1769,376,1272,1963-11-01
414,2023,278,1073,1963-12-01
442,2406,295,1375,1964-01-01
425,2348,288,1400,1964-02-01
475,2148,280,1322,1964-03-01
490,1786,341,1214,1964-04-01
527,1467,438,1096,1964-05-01
872,1609,774,1198,1964-06-01
569,1510,464,1132,1964-07-01
483,1501,374,1193,1964-08-01
394,1378,327,1163,1964-09-01
327,1394,357,1120,1964-10-01
424,1395,335,1164,1964-11-01
417,1676,350,966,1964-12-01
415,2033,340,1154,1965-01-01
419,2108,339,1306,1965-02-01
416,1835,325,1123,1965-03-01
463,1586,410,1033,1965-04-01
535,1320,419,940,1965-05-01
844,1317,745,1151,1965-06-01
662,1271,483,1013,1965-07-01
456,1279,325,1105,1965-08-01
378,1094,359,1011,1965-09-01
398,1023,325,963,1965-10-01
359,1108,381,1040,1965-11-01
405,1249,294,838,1965-12-01
391,1529,312,1012,1966-01-01
359,1512,275,963,1966-02-01
411,1403,288,888,1966-03-01
397,1103,390,840,1966-04-01
496,941,476,880,1966-05-01
777,1049,827,939,1966-06-01
576,1035,571,868,1966-07-01
382,1035,403,1001,1966-08-01
352,871,324,956,1966-09-01
317,839,343,966,1966-10-01
342,971,370,896,1966-11-01
388,1149,275,843,1966-12-01
391,1312,276,1180,1967-01-01
425,1310,346,1103,1967-02-01
372,1262,276,1044,1967-03-01
363,1069,260,972,1967-04-01
337,955,269,897,1967-05-01
753,1062,710,1103,1967-06-01
620,989,584,1056,1967-07-01
455,986,446,1055,1967-08-01
375,839,394,1287,1967-09-01
431,893,397,1231,1967-10-01
450,968,409,1076,1967-11-01
402,1069,320,929,1967-12-01
385,1319,265,1105,1968-01-01
417,1391,352,1127,1968-02-01
400,1219,322,988,1968-03-01
320,969,299,903,1968-04-01
292,843,324,845,1968-05-01
778,997,820,1020,1968-06-01
627,921,675,994,1968-07-01
396,913,427,1036,1968-08-01
339,816,402,1050,1968-09-01
368,810,355,977,1968-10-01
385,844,391,956,1968-11-01
410,873,317,818,1968-12-01
426,1142,276,1031,1969-01-01
405,1134,323,1061,1969-02-01
413,1048,322,964,1969-03-01
352,901,322,967,1969-04-01
304,810,319,867,1969-05-01
675,905,761,1058,1969-06-01
663,945,587,987,1969-07-01
407,886,458,1119,1969-08-01
407,914,435,1202,1969-09-01
403,906,434,1097,1969-10-01
420,909,388,994,1969-11-01
410,1052,325,840,1969-12-01
479,1456,385,1086,1970-01-01
500,1678,378,1238,1970-02-01
475,1606,387,1264,1970-03-01
483,1498,400,1171,1970-04-01
440,1404,335,1206,1970-05-01
947,1585,835,1303,1970-06-01
807,1669,644,1393,1970-07-01
586,1625,552,1463,1970-08-01
581,1566,553,1601,1970-09-01
603,1641,531,1495,1970-10-01
620,1821,617,1561,1970-11-01
669,2115,463,1404,1970-12-01
707,2553,463,1705,1971-01-01
655,2590,474,1739,1971-02-01
638,2379,507,1667,1971-03-01
574,2079,460,1599,1971-04-01
552,1914,433,1516,1971-05-01
980,2004,902,1625,1971-06-01
926,1994,805,1629,1971-07-01
680,2001,596,1809,1971-08-01
597,1842,597,1831,1971-09-01
637,1769,528,1665,1971-10-01
660,1939,589,1659,1971-11-01
704,2100,468,1457,1971-12-01
758,2502,514,1707,1972-01-01
835,2478,526,1607,1972-02-01
747,2350,537,1616,1972-03-01
617,2071,522,1522,1972-04-01
554,1858,405,1585,1972-05-01
929,1921,959,1657,1972-06-01
815,1868,816,1717,1972-07-01
702,1759,651,1789,1972-08-01
640,1625,626,1814,1972-09-01
588,1667,566,1698,1972-10-01
669,1599,568,1481,1972-11-01
675,1684,480,1330,1972-12-01
610,2026,448,1646,1973-01-01
651,2093,558,1596,1973-02-01
605,1957,507,1496,1973-03-01
592,1725,524,1386,1973-04-01
527,1558,469,1302,1973-05-01
898,1579,905,1524,1973-06-01
839,1484,742,1547,1973-07-01
614,1457,570,1632,1973-08-01
594,1343,625,1668,1973-09-01
576,1281,552,1421,1973-10-01
672,1396,585,1475,1973-11-01
651,1582,501,1396,1973-12-01
714,2094,568,1706,1974-01-01
715,2226,556,1715,1974-02-01
672,2003,565,1586,1974-03-01
588,1855,452,1477,1974-04-01
567,1624,528,1500,1974-05-01
1057,1744,1010,1648,1974-06-01
949,1733,914,1745,1974-07-01
683,1805,623,1856,1974-08-01
771,1728,720,2067,1974-09-01
708,1863,704,1856,1974-10-01
824,2146,701,2104,1974-11-01
835,2665,638,2061,1974-12-01
980,3719,764,2809,1975-01-01
969,3950,698,2783,1975-02-01
931,4009,758,2748,1975-03-01
892,3731,643,2642,1975-04-01
828,3518,741,2628,1975-05-01
1350,3501,1101,2714,1975-06-01
1218,3418,976,2699,1975-07-01
977,3184,863,2776,1975-08-01
863,3141,826,2795,1975-09-01
838,3060,779,2673,1975-10-01
866,3184,732,2558,1975-11-01
877,3297,738,2394,1975-12-01
1007,3750,746,2784,1976-01-01
951,3723,718,2751,1976-02-01
906,3473,732,2521,1976-03-01
911,3057,656,2372,1976-04-01
812,2761,641,2202,1976-05-01
1172,3035,1095,2469,1976-06-01
1101,2981,928,2686,1976-07-01
900,2818,911,2815,1976-08-01
841,2696,781,2831,1976-09-01
853,2710,734,2661,1976-10-01
922,2978,733,2590,1976-11-01
886,3196,690,2383,1976-12-01
896,3611,803,2670,1977-01-01
936,3811,718,2771,1977-02-01
902,3386,765,2628,1977-03-01
765,2855,691,2381,1977-04-01
735,2637,684,2224,1977-05-01
1234,2641,1157,2556,1977-06-01
1052,2587,929,2512,1977-07-01
868,2532,808,2690,1977-08-01
798,2221,833,2726,1977-09-01
751,2371,750,2493,1977-10-01
820,2387,742,2544,1977-11-01
725,2485,589,2232,1977-12-01
821,2996,740,2494,1978-01-01
895,2979,696,2315,1978-02-01
851,2834,719,2217,1978-03-01
734,2347,647,2100,1978-04-01
636,2147,706,2116,1978-05-01
994,2097,1071,2319,1978-06-01
990,2150,964,2491,1978-07-01
750,2090,817,2432,1978-08-01
727,1952,809,2470,1978-09-01
754,1979,699,2191,1978-10-01
792,2054,711,2241,1978-11-01
817,2309,653,2117,1978-12-01
856,2693,684,2370,1979-01-01
886,2719,652,2392,1979-02-01
833,2596,640,2255,1979-03-01
733,2263,648,2077,1979-04-01
675,2010,687,2047,1979-05-01
1004,2090,1061,2255,1979-06-01
956,2217,875,2233,1979-07-01
777,2209,791,2539,1979-08-01
761,2046,777,2394,1979-09-01
709,2152,763,2341,1979-10-01
777,2272,685,2231,1979-11-01
771,2429,658,2171,1979-12-01
840,3206,700,2487,1980-01-01
847,3182,700,2449,1980-02-01
774,3228,682,2300,1980-03-01
720,3322,594,2387,1980-04-01
848,3410,769,2474,1980-05-01
1240,3507,1067,2667,1980-06-01
1168,3675,969,2791,1980-07-01
936,3547,814,2904,1980-08-01
853,3303,762,2737,1980-09-01
910,3210,706,2849,1980-10-01
953,3308,698,2723,1980-11-01
874,3345,599,2613,1980-12-01
1026,4066,704,2950,1981-01-01
1030,4043,717,2825,1981-02-01
946,3881,726,2717,1981-03-01
860,3403,705,2593,1981-04-01
856,3400,772,2703,1981-05-01
1190,3392,1068,2836,1981-06-01
1038,3221,933,2938,1981-07-01
883,3290,799,2975,1981-08-01
843,3145,832,3064,1981-09-01
857,3421,846,3092,1981-10-01
1016,3773,824,3063,1981-11-01
1003,4343,678,2991,1981-12-01
